Month,diet: (United States),gym: (United States)
2005-10,57,19
2005-11,55,20
2005-12,48,19
2006-01,80,30
2006-02,66,22
2006-03,67,22
2006-04,67,19
2006-05,67,21
2006-06,70,21
2006-07,69,24
2006-08,66,28
2006-09,59,26
2006-10,57,24
2006-11,57,25
2006-12,49,27
2007-01,79,37
2007-02,69,36
2007-03,74,33
2007-04,73,30
2007-05,70,31
2007-06,73,30
2007-07,69,30
2007-08,59,29
2007-09,63,29
2007-10,60,26
2007-11,55,27
2007-12,50,29
2008-01,75,35
2008-02,65,30
2008-03,66,29
2008-04,69,27
2008-05,61,26
2008-06,61,28
2008-07,64,29
2008-08,61,30
2008-09,57,30
2008-10,59,27
2008-11,57,27
2008-12,54,30
2009-01,79,37
2009-02,68,29
2009-03,69,29
2009-04,66,27
2009-05,66,28
2009-06,64,28
2009-07,64,28
2009-08,62,29
2009-09,60,26
2009-10,59,25
2009-11,56,26
2009-12,53,29
2010-01,81,37
2010-02,69,30
2010-03,71,29
2010-04,67,27
2010-05,69,28
2010-06,63,28
2010-07,61,28
2010-08,62,29
2010-09,60,27
2010-10,59,26
2010-11,54,26
2010-12,53,27
2011-01,89,41
2011-02,83,35
2011-03,81,36
2011-04,87,33
2011-05,84,33
2011-06,79,34
2011-07,76,32
2011-08,71,35
2011-09,71,33
2011-10,70,31
2011-11,67,33
2011-12,63,34
2012-01,99,43
2012-02,84,38
2012-03,82,34
2012-04,85,33
2012-05,79,34
2012-06,78,35
2012-07,78,36
2012-08,76,37
2012-09,69,32
2012-10,65,31
2012-11,62,30
2012-12,60,32
2013-01,92,43
2013-02,87,37
2013-03,85,37
2013-04,86,34
2013-05,80,37
2013-06,78,35
2013-07,75,36
2013-08,70,37
2013-09,66,33
2013-10,65,34
2013-11,58,34
2013-12,59,35
2014-01,85,46
2014-02,76,39
2014-03,78,39
2014-04,72,36
2014-05,71,36
2014-06,66,36
2014-07,64,35
2014-08,59,35
2014-09,61,35
2014-10,54,31
2014-11,51,33
2014-12,50,35
2015-01,74,42
2015-02,62,38
2015-03,66,38
2015-04,68,34
2015-05,63,35
2015-06,64,37
2015-07,63,37
2015-08,60,37
2015-09,56,33
2015-10,54,32
2015-11,49,33
2015-12,49,35
2016-01,73,49
2016-02,67,44
2016-03,68,41
2016-04,67,39
2016-05,65,41
2016-06,62,42
2016-07,59,59
2016-08,60,47
2016-09,55,40
2016-10,52,37
2016-11,49,38
2016-12,48,41
2017-01,73,50
2017-02,77,43
2017-03,72,41
2017-04,70,38
2017-05,68,41
2017-06,71,45
2017-07,73,46
2017-08,66,43
2017-09,61,38
2017-10,61,37
2017-11,56,38
2017-12,54,40
2018-01,89,50
2018-02,80,44
2018-03,86,42
2018-04,89,40
2018-05,84,39
2018-06,78,41
2018-07,86,42
2018-08,79,43
2018-09,70,38
2018-10,64,35
2018-11,58,38
2018-12,60,40
2019-01,100,49
2019-02,79,45
2019-03,77,42
2019-04,80,39
2019-05,68,39
2019-06,65,42
2019-07,66,41
2019-08,62,40
2019-09,60,37
2019-10,58,35
2019-11,53,42
2019-12,53,42
2020-01,76,50
2020-02,69,42
2020-03,46,40
2020-04,46,27
2020-05,57,33
2020-06,57,38
2020-07,56,35
2020-08,52,34
2020-09,49,33
2020-10,51,32
